,en,ru
COUPON_FOR_HUGS_DESCRITION,"All goods in Shop cost 50% less stickers.","Все товары в магазине стоят на 50% дешевле."
Pocket Watch,Pocket Watch,Карманные Часы
POCKET_WATCH_DESCRIPTION,"At the start of each turn you gain ATK +100%. This effect ends after you use normal attack, skill or ultimate.","В начале каждого хода вы получаете ATK +100%. Данный эффект оканчивается после того как вы испольуете обычную атаку, навык или ультимейт."
Cocktail,Cocktail,Коктейль
COCKTAIL_DESCRIPTION,"At the start of your turn you restore 4 EN.","В начале своего хода вы восстанавливаете 4 EN."
Battery,Battery,Аккамулятор
BATTERY_DESCRIPTION,"Normal attacks restore 3 additional EN.","Обычные атаки восстанавливают дополнительно 3 EN."
Knife,Knife,Кинжал
KNIFE_DESCRIPTION,"Normal attacks' CRIT increases by 10.","CRIT обычных атак повышен на 10."
Vial Of Poison,Vial Of Poison,Склянка с Ядом
VIAL_OF_POISON_DESCRIPTION,"All enemies' Max HP -15%.","Макс ХП -15% у всех врагов."
Root Of Vulnerability,Root Of Vulnerability,Корень Уязвимости
ROOT_OF_VULNERABILITY_DESCRIPTION,"All enemies' DEF -45%.","DEF -45% у всех врагов."
Broken Blade,Broken Blade,Сломанный Клинок
BROKEN_BLADE_DESCRIPTION,"All enemies' ATK -15%.","ATK -15% у всех врагов."
Trombone,Trombone,Тромбон
TROMBONE_DESCRIPTION,"At the start of its turn, sleeping creature takes 60 physical damage.","В начале своего хода спящее существо получает 60 физического урона."
Shell,Seashell,Ракушка
SHELL_DESCRIPTION,"When inflicting Exhaustion, inflict 4 more stack.","Когда вы накладываете Истощение, наложите на 4 Истощение больше."
Charging Device,Charging Device,Зарядное Устройство
CHARGING_DEVICE_DESCRIPTION,"Blue skills restore 2 more EN.","Синие навыки восстанавливают на 2 EN больше."
One For All,"'One For All'","'Один за Всех'"
ONE_FOR_ALL_DESCRIPTON,"When there are more than 1 enemy, restore 50 HP at the start of the turn.","Когда на поле боя больше 1 врага, вы восстанавливаете 50 ХП в начале хода."
All For One,"'All For One'","'Все за Одного'"
ALL_FOR_ONE_DESCRIPTION,"When there are only 1 enemy, ATK +50%.","Когда на поле боя только 1 враг, АТК +50%."
Spiked Sword,Spiked Sword,Шипастый Меч
SPIKED_SWORD_DESCRIPTION,"END +10\nAt 50% HP or less ATK +10 and CRIT +5.","END +10\nКогда ХП 50% или меньше, АТК +10 и CRIT +5."
Gloves,Gloves,Перчатки
GLOVES_DESCRIPTION,"DEF +20\nAttacks deal additional damage equal to 40% of DEF.","DEF +20\nАтаки наносят дополнительный урон равный 40% от DEF."
Wonder-Remedy,Wonder-Remedy,Чудо-Лекарство
WONDER_REMEDY_DESCRIPTION,"Each tme you restore HP, ATK +5 and SEN +5. This buff can stack up to 5 times and resets at the start of each battle.","Каждый раз, когда вы восстанавливаете ХП, АТК +5 и SEN +5. Данный бафф может складываться до 5 раз и сбрасывается в начале каждого боя."
First Aid Kit,First Aid Kit,Аптечка
FIRST_AID_KIT_DESCRIPTION,"Increases the healing effectiveness by 75%.","Повышает эффективность лечения на 75%."
Boomerang,Boomerang,Бумеранг
BOOMERANG_DESCRIPTION,"Each time you dodge the attack, attacker takes 40 physical damage.","Каждый раз, когда вы уклоняетесь от атаки, атакующий получает 40 физического урона."
White Crest,White Crest,Белый Герб
WHITE_CREST_DESCRIPTION,"If all equipped skills are of different colors(excluding white skills), ATK +20.\nOtherwise ATK -5.","Если все экипированные навыки разных цветов(исключая белые навыки), АТК +20.\nВ ином случае АТК -5."
Lightning Crest,Lightning Crest,Герб Молнии
LIGHTNING_CREST,"SPD +10\nFor each two equipped yellow skill get +1 action per turn.","SPD +10\nЗа каждые два экипированных желтых навыка получите +1 действие в ход."
Rose Crest,Rose Crest,Герб Розы
ROSE_CREST_DESCRIPTION,"CRIT +5\nRed attacks immediately knock out enemies with less than 15% HP.","CRIT +5\nКрасные атаки моментально выбивают врагов, у которых меньше 15% ХП."
Health Crest,Health Crest,Герб Здоровья
HEALTH_CREST_DESCRIPTION,"Max HP +50\nWhen you restore HP, deal green damage equal to 50% of the healed amount to all enemies.","Макс ХП +50\nКогда вы восстанавливаете ХП, нанесите всем врагам зеленый урон равный 50% от размера лечения."
Whirl Crest,Whirl Crest,Герб Вихря
WHIRL_CREST_DESCRIPTION,"ENR +10\nAt the start of the battle inflict Exhaustion(10) on all enemies.","ENR +10\nВ начале боя наложите Истощение(10) на всех врагов."
Needle Crest,Needle Crest,Герб Иглы
NEEDLE_CREST_DESCRIPTION,"RES +10\nIgnore 20 RES of all enemies.","RES +10\nВы игнорируете 20 RES всех врагов."
Stone Crest,Stone Crest,Герб Камня
STONE_CREST_DESCRIPTION,"DEF +20\nShields have double the amount of HP.","DEF +20\nХП щитов увеличено вдвое."
and,and,и
///////////////////////////SKILLS////////////////////////////////,.,.
NORMAL_ATTACK,"Salim attacks one enemy dealing physical damage(100% ATK).","Салим атакует одного противника, нанося существу физический урон(100% ATK)."
Normal Attack,Normal Attack,Обычная Атака
Normal_Attack,Normal Attack,Обычная Атака
"Find this skill to unlock it.","Find this skill to unlock it.","Найдите данный навык, чтобы разблокировать его."
RED_WARNING_STRIKE_1,"On hit deal red damage(100% ATK) to one enemy and the next attack gains Empowerment(30%).","При попадании нанесите красный урон(100% АТК) одному врагу и следующая атака получает Усиление(30%)."
RED_WARNING_STRIKE_2,"On hit deal red damage(120% ATK) to one enemy and the next attack gains Empowerment(35%).","При попадании нанесите красный урон(120% АТК) одному врагу и следующая атака получает Усиление(35%)."
RED_WARNING_STRIKE_3,"On hit deal red damage(140% ATK) to one enemy and the next attack gains Empowerment(40%).","При попадании нанесите красный урон(140% АТК) одному врагу и следующая атака получает Усиление(40%)."
RED_WARNING_STRIKE_4,"On hit deal red damage(160% ATK) to one enemy and the next attack gains Empowerment(50%).","При попадании нанесите красный урон(160% АТК) одному врагу и следующая атака получает Усиление(50%)."
RED_WARNING_STRIKE_5,"On hit deal red damage(200% ATK) to one enemy and the next attack gains Empowerment(60%).","При попадании нанесите красный урон(200% АТК) одному врагу и следующая атака получает Усиление(60%)."
Warning Strike,Warning Strike,Предупреждающий Удар
Red_Warning_Strike,Warning Strike,Предупреждающий Удар
RED_DIRTY_TRICK_1,"On hit deal red damage(100% ATK) to one enemy and inflict Blindness(20%) for 2 turns.","При попадании нанесите красный урон(100% АТК) одному врагу и наложите на него Слепоту(20%) на 2 хода."
